station_id,station_name,latitude,longitude,date,PRCP,SNOW,SNWD,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-12,0.0,0.0,0.0,56.0,36.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-13,0.0,0.0,0.0,49.0,34.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-14,0.0,0.0,0.0,41.0,32.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-15,0.0,0.0,0.0,39.0,34.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-16,0.03,0.0,0.0,41.0,32.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-17,0.0,0.0,0.0,48.0,37.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-18,0.58,0.0,0.0,45.0,39.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-19,0.35,0.0,0.0,63.0,40.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-20,0.02,0.0,0.0,63.0,31.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-21,0.0,0.0,0.0,33.0,27.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-22,0.24,3.0,3.0,36.0,28.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-23,0.07,0.6,0.0,44.0,33.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-24,0.0,0.0,0.0,46.0,33.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-25,0.0,0.0,0.0,56.0,32.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-26,0.0,0.0,0.0,52.0,38.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-27,0.08,0.0,0.0,51.0,37.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-28,0.54,0.0,0.0,67.0,45.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-29,0.01,0.0,0.0,63.0,44.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-30,0.0,0.0,0.0,50.0,39.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-31,0.0,0.0,0.0,43.0,37.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-01,0.0,0.0,0.0,53.0,36.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-02,0.0,0.0,0.0,59.0,31.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-03,0.01,0.0,0.0,70.0,46.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-04,0.12,0.0,0.0,56.0,36.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-05,0.0,0.0,0.0,50.0,37.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-06,0.15,0.0,0.0,65.0,36.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-07,0.69,0.0,0.0,80.0,55.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-08,0.19,0.0,0.0,69.0,49.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-04-09,0.0,0.0,0.0,50.0,36.0
